Origem,Media,Mediana,Desvio_Padrao
ChatGPT,4.493333333333333,5.0,0.5544252766490607
Gemini,4.373333333333333,5.0,0.7845352098507088
OBI,4.344444444444444,4.0,0.7812567103332295
Tese,4.2,4.0,0.8982091410228183
